OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative
1,2020/12/23 15:00:00+00,,1,1,,0,,0
2,2021/01/04 15:00:00+00,,1,2,,0,,0
3,2021/01/10 15:00:00+00,,1,3,,0,,0
4,2021/01/11 15:00:00+00,,,3,1,1,,0
5,2021/01/13 15:00:00+00,,1,4,,1,,0
6,2021/01/19 15:00:00+00,,2,6,,1,,0
7,2021/01/22 15:00:00+00,,1,7,,1,,0
8,2021/01/27 15:00:00+00,,,7,1,2,,0
9,2021/01/29 15:00:00+00,,1,8,,2,,0
10,2021/02/05 15:00:00+00,,1,9,,2,,0
11,2021/02/06 15:00:00+00,,1,10,,2,,0
12,2021/02/09 15:00:00+00,,,10,2,4,,0
13,2021/02/10 15:00:00+00,,,10,1,5,,0
14,2021/02/11 15:00:00+00,,1,11,,5,,0
15,2021/02/13 15:00:00+00,,1,12,,5,,0
16,2021/02/16 15:00:00+00,,,12,1,6,,0
17,2021/02/19 15:00:00+00,,,12,2,8,,0
18,2021/02/23 15:00:00+00,,1,13,,8,,0
19,2021/03/05 15:00:00+00,,,13,1,9,,0
20,2021/03/06 15:00:00+00,,1,14,1,10,,0
21,2021/03/08 15:00:00+00,,1,15,,10,,0
22,2021/03/11 15:00:00+00,,,15,1,11,,0
23,2021/03/12 15:00:00+00,,1,16,,11,,0
24,2021/03/14 15:00:00+00,,1,17,,11,,0
25,2021/03/15 15:00:00+00,,,17,1,12,,0
26,2021/03/17 15:00:00+00,,1,18,,12,,0
27,2021/03/18 15:00:00+00,,1,19,,12,,0
28,2021/03/19 15:00:00+00,,2,21,,12,,0
29,2021/03/21 15:00:00+00,,1,22,,12,,0
30,2021/03/23 15:00:00+00,,1,23,,12,,0
31,2021/03/27 15:00:00+00,,,23,1,13,,0
32,2021/03/29 15:00:00+00,,1,24,1,14,,0
33,2021/03/30 15:00:00+00,,3,27,,14,,0
34,2021/03/31 15:00:00+00,,1,28,,14,,0
35,2020/12/18 15:00:00+00,Allegany                                          ,4,4,,0,,0
36,2020/12/21 15:00:00+00,Allegany                                          ,23,27,,0,,0
37,2020/12/22 15:00:00+00,Allegany                                          ,54,81,,0,,0
38,2020/12/23 15:00:00+00,Allegany                                          ,115,196,,0,,0
39,2020/12/27 15:00:00+00,Allegany                                          ,1,197,,0,,0
40,2020/12/28 15:00:00+00,Allegany                                          ,203,400,,0,,0
41,2020/12/29 15:00:00+00,Allegany                                          ,156,556,,0,,0
42,2020/12/30 15:00:00+00,Allegany                                          ,221,777,,0,,0
43,2020/12/31 15:00:00+00,Allegany                                          ,2,779,,0,,0
44,2021/01/04 15:00:00+00,Allegany                                          ,169,948,,0,,0
45,2021/01/05 15:00:00+00,Allegany                                          ,160,1108,,0,,0
46,2021/01/06 15:00:00+00,Allegany                                          ,192,1300,,0,,0
47,2021/01/07 15:00:00+00,Allegany                                          ,247,1547,,0,,0
48,2021/01/08 15:00:00+00,Allegany                                          ,105,1652,5,5,,0
49,2021/01/09 15:00:00+00,Allegany                                          ,19,1671,,5,,0
50,2021/01/10 15:00:00+00,Allegany                                          ,1,1672,,5,,0
51,2021/01/11 15:00:00+00,Allegany                                          ,152,1824,2,7,,0
52,2021/01/12 15:00:00+00,Allegany                                          ,370,2194,2,9,,0
53,2021/01/13 15:00:00+00,Allegany                                          ,207,2401,3,12,,0
54,2021/01/14 15:00:00+00,Allegany                                          ,328,2729,2,14,,0
55,2021/01/15 15:00:00+00,Allegany                                          ,311,3040,,14,,0
56,2021/01/16 15:00:00+00,Allegany                                          ,7,3047,,14,,0
57,2021/01/17 15:00:00+00,Allegany                                          ,1,3048,,14,,0
58,2021/01/18 15:00:00+00,Allegany                                          ,,3048,18,32,,0
59,2021/01/19 15:00:00+00,Allegany                                          ,317,3365,84,116,,0
60,2021/01/20 15:00:00+00,Allegany                                          ,306,3671,162,278,,0
61,2021/01/21 15:00:00+00,Allegany                                          ,662,4333,4,282,,0
62,2021/01/22 15:00:00+00,Allegany                                          ,378,4711,4,286,,0
63,2021/01/23 15:00:00+00,Allegany                                          ,66,4777,1,287,,0
64,2021/01/24 15:00:00+00,Allegany                                          ,32,4809,2,289,,0
65,2021/01/25 15:00:00+00,Allegany                                          ,333,5142,199,488,,0
66,2021/01/26 15:00:00+00,Allegany                                          ,69,5211,94,582,,0
67,2021/01/27 15:00:00+00,Allegany                                          ,416,5627,256,838,,0
68,2021/01/28 15:00:00+00,Allegany                                          ,825,6452,6,844,,0
69,2021/01/29 15:00:00+00,Allegany                                          ,862,7314,29,873,,0
70,2021/01/30 15:00:00+00,Allegany                                          ,5,7319,,873,,0
71,2021/01/31 15:00:00+00,Allegany                                          ,1,7320,1,874,,0
72,2021/02/01 15:00:00+00,Allegany                                          ,29,7349,108,982,,0
73,2021/02/02 15:00:00+00,Allegany                                          ,393,7742,300,1282,,0
74,2021/02/03 15:00:00+00,Allegany                                          ,50,7792,192,1474,,0
75,2021/02/04 15:00:00+00,Allegany                                          ,126,7918,286,1760,,0
76,2021/02/05 15:00:00+00,Allegany                                          ,197,8115,100,1860,,0
77,2021/02/06 15:00:00+00,Allegany                                          ,6,8121,2,1862,,0
78,2021/02/07 15:00:00+00,Allegany                                          ,3,8124,,1862,,0
79,2021/02/08 15:00:00+00,Allegany                                          ,59,8183,127,1989,,0
80,2021/02/09 15:00:00+00,Allegany                                          ,301,8484,156,2145,,0
81,2021/02/10 15:00:00+00,Allegany                                          ,151,8635,201,2346,,0
82,2021/02/11 15:00:00+00,Allegany                                          ,84,8719,4,2350,,0
83,2021/02/12 15:00:00+00,Allegany                                          ,336,9055,534,2884,,0
84,2021/02/13 15:00:00+00,Allegany                                          ,52,9107,69,2953,,0
85,2021/02/14 15:00:00+00,Allegany                                          ,5,9112,18,2971,,0
86,2021/02/15 15:00:00+00,Allegany                                          ,83,9195,31,3002,,0
87,2021/02/16 15:00:00+00,Allegany                                          ,121,9316,290,3292,,0
88,2021/02/17 15:00:00+00,Allegany                                          ,61,9377,913,4205,,0
89,2021/02/18 15:00:00+00,Allegany                                          ,55,9432,85,4290,,0
90,2021/02/19 15:00:00+00,Allegany                                          ,61,9493,1000,5290,,0
91,2021/02/20 15:00:00+00,Allegany                                          ,16,9509,3,5293,,0
92,2021/02/21 15:00:00+00,Allegany                                          ,31,9540,2,5295,,0
93,2021/02/22 15:00:00+00,Allegany                                          ,173,9713,654,5949,,0
94,2021/02/23 15:00:00+00,Allegany                                          ,335,10048,47,5996,,0
95,2021/02/24 15:00:00+00,Allegany                                          ,85,10133,389,6385,,0
96,2021/02/25 15:00:00+00,Allegany                                          ,96,10229,374,6759,,0
97,2021/02/26 15:00:00+00,Allegany                                          ,56,10285,412,7171,,0
98,2021/02/27 15:00:00+00,Allegany                                          ,29,10314,,7171,,0
99,2021/02/28 15:00:00+00,Allegany                                          ,107,10421,15,7186,,0
100,2021/03/01 15:00:00+00,Allegany                                          ,60,10481,31,7217,,0
101,2021/03/02 15:00:00+00,Allegany                                          ,148,10629,546,7763,,0
102,2021/03/03 15:00:00+00,Allegany                                          ,97,10726,28,7791,,0
103,2021/03/04 15:00:00+00,Allegany                                          ,539,11265,130,7921,,0
104,2021/03/05 15:00:00+00,Allegany                                          ,483,11748,336,8257,313,313
105,2021/03/06 15:00:00+00,Allegany                                          ,22,11770,5,8262,2,315
106,2021/03/07 15:00:00+00,Allegany                                          ,44,11814,24,8286,2,317
107,2021/03/08 15:00:00+00,Allegany                                          ,74,11888,14,8300,3,320
108,2021/03/09 15:00:00+00,Allegany                                          ,181,12069,64,8364,23,343
109,2021/03/10 15:00:00+00,Allegany                                          ,134,12203,116,8480,1,344
110,2021/03/11 15:00:00+00,Allegany                                          ,1051,13254,92,8572,1,345
111,2021/03/12 15:00:00+00,Allegany                                          ,474,13728,174,8746,2,347
112,2021/03/13 15:00:00+00,Allegany                                          ,14,13742,20,8766,1,348
113,2021/03/14 15:00:00+00,Allegany                                          ,8,13750,43,8809,,348
114,2021/03/15 15:00:00+00,Allegany                                          ,80,13830,42,8851,,348
115,2021/03/16 15:00:00+00,Allegany                                          ,77,13907,106,8957,51,399
116,2021/03/17 15:00:00+00,Allegany                                          ,53,13960,43,9000,,399
117,2021/03/18 15:00:00+00,Allegany                                          ,820,14780,33,9033,33,432
118,2021/03/19 15:00:00+00,Allegany                                          ,494,15274,28,9061,,432
119,2021/03/20 15:00:00+00,Allegany                                          ,13,15287,2,9063,3,435
120,2021/03/21 15:00:00+00,Allegany                                          ,47,15334,20,9083,3,438
121,2021/03/22 15:00:00+00,Allegany                                          ,46,15380,28,9111,8,446
122,2021/03/23 15:00:00+00,Allegany                                          ,163,15543,460,9571,49,495
123,2021/03/24 15:00:00+00,Allegany                                          ,100,15643,78,9649,15,510
124,2021/03/25 15:00:00+00,Allegany                                          ,271,15914,55,9704,53,563
125,2021/03/26 15:00:00+00,Allegany                                          ,1067,16981,54,9758,7,570
126,2021/03/27 15:00:00+00,Allegany                                          ,4,16985,5,9763,9,579
127,2021/03/28 15:00:00+00,Allegany                                          ,39,17024,61,9824,14,593
128,2021/03/29 15:00:00+00,Allegany                                          ,24,17048,70,9894,7,600
129,2021/03/30 15:00:00+00,Allegany                                          ,237,17285,108,10002,25,625
130,2021/03/31 15:00:00+00,Allegany                                          ,696,17981,71,10073,28,653
131,2021/04/01 15:00:00+00,Allegany                                          ,182,18163,466,10539,60,713
132,2021/04/02 15:00:00+00,Allegany                                          ,520,18683,418,10957,19,732
133,2020/12/14 15:00:00+00,Anne Arundel                                      ,2,2,,0,,0
134,2020/12/16 15:00:00+00,Anne Arundel                                      ,53,55,,0,,0
135,2020/12/17 15:00:00+00,Anne Arundel                                      ,97,152,,0,,0
136,2020/12/18 15:00:00+00,Anne Arundel                                      ,168,320,,0,,0
137,2020/12/19 15:00:00+00,Anne Arundel                                      ,41,361,,0,,0
138,2020/12/20 15:00:00+00,Anne Arundel                                      ,5,366,,0,,0
139,2020/12/21 15:00:00+00,Anne Arundel                                      ,283,649,,0,,0
140,2020/12/22 15:00:00+00,Anne Arundel                                      ,410,1059,,0,,0
141,2020/12/23 15:00:00+00,Anne Arundel                                      ,365,1424,,0,,0
142,2020/12/24 15:00:00+00,Anne Arundel                                      ,234,1658,1,1,,0
143,2020/12/25 15:00:00+00,Anne Arundel                                      ,22,1680,,1,,0
144,2020/12/26 15:00:00+00,Anne Arundel                                      ,161,1841,,1,,0
145,2020/12/27 15:00:00+00,Anne Arundel                                      ,99,1940,,1,,0
146,2020/12/28 15:00:00+00,Anne Arundel                                      ,600,2540,,1,,0
147,2020/12/29 15:00:00+00,Anne Arundel                                      ,799,3339,,1,,0
148,2020/12/30 15:00:00+00,Anne Arundel                                      ,851,4190,1,2,,0
149,2020/12/31 15:00:00+00,Anne Arundel                                      ,540,4730,,2,,0
150,2021/01/01 15:00:00+00,Anne Arundel                                      ,200,4930,,2,,0
151,2021/01/02 15:00:00+00,Anne Arundel                                      ,149,5079,,2,,0
152,2021/01/03 15:00:00+00,Anne Arundel                                      ,205,5284,,2,,0
153,2021/01/04 15:00:00+00,Anne Arundel                                      ,1168,6452,14,16,,0
154,2021/01/05 15:00:00+00,Anne Arundel                                      ,829,7281,16,32,,0
155,2021/01/06 15:00:00+00,Anne Arundel                                      ,1158,8439,68,100,,0
156,2021/01/07 15:00:00+00,Anne Arundel                                      ,1418,9857,109,209,,0
157,2021/01/08 15:00:00+00,Anne Arundel                                      ,1596,11453,186,395,,0
158,2021/01/09 15:00:00+00,Anne Arundel                                      ,300,11753,45,440,,0
159,2021/01/10 15:00:00+00,Anne Arundel                                      ,431,12184,12,452,,0
160,2021/01/11 15:00:00+00,Anne Arundel                                      ,1384,13568,282,734,,0
161,2021/01/12 15:00:00+00,Anne Arundel                                      ,1580,15148,394,1128,,0
162,2021/01/13 15:00:00+00,Anne Arundel                                      ,1557,16705,242,1370,,0
163,2021/01/14 15:00:00+00,Anne Arundel                                      ,1361,18066,113,1483,,0
164,2021/01/15 15:00:00+00,Anne Arundel                                      ,1632,19698,87,1570,,0
165,2021/01/16 15:00:00+00,Anne Arundel                                      ,501,20199,130,1700,,0
166,2021/01/17 15:00:00+00,Anne Arundel                                      ,351,20550,44,1744,,0
167,2021/01/18 15:00:00+00,Anne Arundel                                      ,1671,22221,285,2029,,0
168,2021/01/19 15:00:00+00,Anne Arundel                                      ,2149,24370,508,2537,,0
169,2021/01/20 15:00:00+00,Anne Arundel                                      ,2065,26435,473,3010,,0
170,2021/01/21 15:00:00+00,Anne Arundel                                      ,2191,28626,391,3401,,0
171,2021/01/22 15:00:00+00,Anne Arundel                                      ,2158,30784,337,3738,,0
172,2021/01/23 15:00:00+00,Anne Arundel                                      ,667,31451,78,3816,,0
173,2021/01/24 15:00:00+00,Anne Arundel                                      ,522,31973,53,3869,,0
174,2021/01/25 15:00:00+00,Anne Arundel                                      ,1528,33501,942,4811,,0
175,2021/01/26 15:00:00+00,Anne Arundel                                      ,1532,35033,864,5675,,0
176,2021/01/27 15:00:00+00,Anne Arundel                                      ,1850,36883,933,6608,,0
177,2021/01/28 15:00:00+00,Anne Arundel                                      ,1731,38614,741,7349,,0
178,2021/01/29 15:00:00+00,Anne Arundel                                      ,1698,40312,917,8266,,0
179,2021/01/30 15:00:00+00,Anne Arundel                                      ,1094,41406,109,8375,,0
180,2021/01/31 15:00:00+00,Anne Arundel                                      ,406,41812,296,8671,,0
181,2021/02/01 15:00:00+00,Anne Arundel                                      ,697,42509,290,8961,,0
182,2021/02/02 15:00:00+00,Anne Arundel                                      ,1236,43745,1446,10407,,0
183,2021/02/03 15:00:00+00,Anne Arundel                                      ,1449,45194,2076,12483,,0
184,2021/02/04 15:00:00+00,Anne Arundel                                      ,1524,46718,1890,14373,,0
185,2021/02/05 15:00:00+00,Anne Arundel                                      ,1415,48133,1486,15859,,0
186,2021/02/06 15:00:00+00,Anne Arundel                                      ,780,48913,945,16804,,0
187,2021/02/07 15:00:00+00,Anne Arundel                                      ,290,49203,78,16882,,0
188,2021/02/08 15:00:00+00,Anne Arundel                                      ,1329,50532,1236,18118,,0
189,2021/02/09 15:00:00+00,Anne Arundel                                      ,1059,51591,615,18733,,0
190,2021/02/10 15:00:00+00,Anne Arundel                                      ,1613,53204,1725,20458,,0
191,2021/02/11 15:00:00+00,Anne Arundel                                      ,3168,56372,1655,22113,,0
192,2021/02/12 15:00:00+00,Anne Arundel                                      ,2225,58597,1764,23877,,0
193,2021/02/13 15:00:00+00,Anne Arundel                                      ,679,59276,1267,25144,,0
194,2021/02/14 15:00:00+00,Anne Arundel                                      ,803,60079,619,25763,,0
195,2021/02/15 15:00:00+00,Anne Arundel                                      ,1983,62062,510,26273,,0
196,2021/02/16 15:00:00+00,Anne Arundel                                      ,2201,64263,1281,27554,,0
197,2021/02/17 15:00:00+00,Anne Arundel                                      ,3344,67607,2062,29616,,0
198,2021/02/18 15:00:00+00,Anne Arundel                                      ,263,67870,255,29871,,0
199,2021/02/19 15:00:00+00,Anne Arundel                                      ,1566,69436,943,30814,,0
200,2021/02/20 15:00:00+00,Anne Arundel                                      ,806,70242,1920,32734,,0
201,2021/02/21 15:00:00+00,Anne Arundel                                      ,751,70993,1019,33753,,0
202,2021/02/22 15:00:00+00,Anne Arundel                                      ,707,71700,1491,35244,,0
203,2021/02/23 15:00:00+00,Anne Arundel                                      ,1451,73151,1704,36948,,0
204,2021/02/24 15:00:00+00,Anne Arundel                                      ,1414,74565,1735,38683,,0
205,2021/02/25 15:00:00+00,Anne Arundel                                      ,2398,76963,1574,40257,,0
206,2021/02/26 15:00:00+00,Anne Arundel                                      ,1950,78913,1124,41381,,0
207,2021/02/27 15:00:00+00,Anne Arundel                                      ,1277,80190,460,41841,,0
208,2021/02/28 15:00:00+00,Anne Arundel                                      ,1396,81586,320,42161,,0
209,2021/03/01 15:00:00+00,Anne Arundel                                      ,2042,83628,759,42920,,0
210,2021/03/02 15:00:00+00,Anne Arundel                                      ,2117,85745,1160,44080,2,2
211,2021/03/03 15:00:00+00,Anne Arundel                                      ,2393,88138,1516,45596,1,3
212,2021/03/04 15:00:00+00,Anne Arundel                                      ,2732,90870,1545,47141,929,932
213,2021/03/05 15:00:00+00,Anne Arundel                                      ,2205,93075,2017,49158,442,1374
214,2021/03/06 15:00:00+00,Anne Arundel                                      ,1330,94405,740,49898,623,1997
215,2021/03/07 15:00:00+00,Anne Arundel                                      ,1351,95756,465,50363,675,2672
216,2021/03/08 15:00:00+00,Anne Arundel                                      ,2164,97920,1325,51688,846,3518
217,2021/03/09 15:00:00+00,Anne Arundel                                      ,2232,100152,1795,53483,1764,5282
218,2021/03/10 15:00:00+00,Anne Arundel                                      ,3011,103163,2347,55830,818,6100
219,2021/03/11 15:00:00+00,Anne Arundel                                      ,3455,106618,2379,58209,298,6398
220,2021/03/12 15:00:00+00,Anne Arundel                                      ,2651,109269,1821,60030,124,6522
221,2021/03/13 15:00:00+00,Anne Arundel                                      ,1963,111232,688,60718,51,6573
222,2021/03/14 15:00:00+00,Anne Arundel                                      ,1785,113017,689,61407,24,6597
223,2021/03/15 15:00:00+00,Anne Arundel                                      ,2885,115902,1546,62953,61,6658
224,2021/03/16 15:00:00+00,Anne Arundel                                      ,3966,119868,1502,64455,43,6701
225,2021/03/17 15:00:00+00,Anne Arundel                                      ,3715,123583,1355,65810,36,6737
226,2021/03/18 15:00:00+00,Anne Arundel                                      ,3911,127494,1637,67447,48,6785
227,2021/03/19 15:00:00+00,Anne Arundel                                      ,2664,130158,1603,69050,89,6874
228,2021/03/20 15:00:00+00,Anne Arundel                                      ,2073,132231,930,69980,42,6916
229,2021/03/21 15:00:00+00,Anne Arundel                                      ,1769,134000,772,70752,12,6928
230,2021/03/22 15:00:00+00,Anne Arundel                                      ,3581,137581,867,71619,71,6999
231,2021/03/23 15:00:00+00,Anne Arundel                                      ,3481,141062,1386,73005,96,7095
232,2021/03/24 15:00:00+00,Anne Arundel                                      ,4002,145064,1662,74667,228,7323
233,2021/03/25 15:00:00+00,Anne Arundel                                      ,3938,149002,2332,76999,102,7425
234,2021/03/26 15:00:00+00,Anne Arundel                                      ,3462,152464,1833,78832,86,7511
235,2021/03/27 15:00:00+00,Anne Arundel                                      ,1724,154188,1199,80031,141,7652
236,2021/03/28 15:00:00+00,Anne Arundel                                      ,1503,155691,1216,81247,19,7671
237,2021/03/29 15:00:00+00,Anne Arundel                                      ,2482,158173,2141,83388,139,7810
238,2021/03/30 15:00:00+00,Anne Arundel                                      ,3085,161258,1984,85372,142,7952
239,2021/03/31 15:00:00+00,Anne Arundel                                      ,3584,164842,3294,88666,240,8192
240,2021/04/01 15:00:00+00,Anne Arundel                                      ,2950,167792,2509,91175,393,8585
241,2021/04/02 15:00:00+00,Anne Arundel                                      ,1398,169190,1568,92743,208,8793
242,2020/12/15 15:00:00+00,Baltimore                                         ,1,1,,0,,0
243,2020/12/16 15:00:00+00,Baltimore                                         ,123,124,,0,,0
244,2020/12/17 15:00:00+00,Baltimore                                         ,189,313,,0,,0
245,2020/12/18 15:00:00+00,Baltimore                                         ,444,757,,0,,0
246,2020/12/19 15:00:00+00,Baltimore                                         ,135,892,,0,,0
247,2020/12/20 15:00:00+00,Baltimore                                         ,64,956,,0,,0
248,2020/12/21 15:00:00+00,Baltimore                                         ,578,1534,,0,,0
249,2020/12/22 15:00:00+00,Baltimore                                         ,1024,2558,,0,,0
