FIPS Code,State,Area name,Area type,2013 Rural-urban Continuum Code,2013 Urban Influence Code,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
00000,US,United States,nation,,,"26,948,057","59,265,308","63,365,655","68,867,051",12.3,27.1,29.0,31.5
01000,AL,Alabama,state,,,"470,043","1,020,172","987,148","822,595",14.2,30.9,29.9,24.9
01001,AL,Autauga County,county,2,2,"4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7
01003,AL,Baldwin County,county,3,2,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3
01005,AL,Barbour County,county,6,6,"4,901","6,486","4,566","2,220",27.0,35.7,25.1,12.2
01007,AL,Bibb County,county,1,1,"2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5
01009,AL,Blount County,county,1,1,"7,861","13,489","13,267","5,010",19.8,34.0,33.5,12.6
01011,AL,Bullock County,county,6,6,"1,760","2,817","1,582",945,24.8,39.7,22.3,13.3
01013,AL,Butler County,county,6,6,"2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1
01015,AL,Calhoun County,county,3,2,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18.0
01017,AL,Chambers County,county,6,5,"4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2
01019,AL,Cherokee County,county,6,6,"3,692","7,157","5,417","2,407",19.8,38.3,29.0,12.9
01021,AL,Chilton County,county,1,1,"5,302","13,125","7,147","4,219",17.8,44.1,24.0,14.2
01023,AL,Choctaw County,county,9,10,"1,754","3,606","2,851","1,225",18.6,38.2,30.2,13.0
01025,AL,Clarke County,county,7,11,"3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6
01027,AL,Clay County,county,9,10,"2,275","3,366","2,700",944,24.5,36.3,29.1,10.2
01029,AL,Cleburne County,county,8,4,"2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7
01031,AL,Coffee County,county,4,5,"4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4
01033,AL,Colbert County,county,3,2,"6,016","13,927","11,459","7,236",15.6,36.0,29.7,18.7
01035,AL,Conecuh County,county,7,11,"1,703","4,315","1,881",949,19.2,48.8,21.3,10.7
01037,AL,Coosa County,county,8,3,"1,675","3,178","2,424",953,20.4,38.6,29.5,11.6
01039,AL,Covington County,county,6,6,"4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9
01041,AL,Crenshaw County,county,8,6,"2,091","3,753","2,326","1,505",21.6,38.8,24.0,15.6
01043,AL,Cullman County,county,4,3,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7
01045,AL,Dale County,county,4,5,"4,732","10,924","12,036","5,690",14.2,32.7,36.1,17.0
